,HourID,title,url,Content
0,20201218,"Tesla’s 1,000% Stock Price Explosion Isn’t About Electric Cars",https://oilprice.com/Energy/Energy-General/Teslas-1000-Stock-Price-Explosion-Isnt-About-Electric-Cars.html,"Saudi Cuts 2021 as Oil…
The already-struggling U.S. shale sector…
Russian oil giant Rosneft just…
By Brandy Taylor - Dec 17, 2020, 6:00 PM CSTThe list of things that are gearing up because of the … [+16030 chars]"
2,20201217,Draft guidance on China investment ban spurs tensions in Trump administration -sources - Reuters,https://www.reuters.com/article/us-usa-china-investment-idUSKBN28R3FC,WASHINGTON (Reuters) - A debate is raging within the Trump administration over guidance the Treasury Department is seeking to publish to clarify a recent directive banning U.S. investors from buying … [+2444 chars]
4,20201217,U.S. Backs EastMed Pipeline To Supply Gas To Europe,https://oilprice.com/Latest-Energy-News/World-News/US-Backs-EastMed-Pipeline-To-Supply-Gas-To-Europe.html,"Libya's delicate peace is already…
The oil &amp; gas industry…
By Tsvetana Paraskova - Dec 17, 2020, 5:30 PM CSTThe United States supports the EastMed pipeline project that is expected to deliver n… [+2270 chars]"
5,20201217,A 9-year-old girl's death certificate will be 'the first in the world' to list air pollution as a cause after a fatal asthma attack,https://www.businessinsider.com/air-pollution-deemed-cause-of-girl-death-unprecedented-2020-12,"Seven years after 9-year-old Londoner Ella Kissi-Debrah suffered a fatal asthma attack, her death is making history.
On Wednesday, coroner Philip Barlow ruled that air pollution killed the little gi… [+5126 chars]"
6,20201217,Rosneft Extremely Bullish About Arctic Oil And Gas Discoveries,https://oilprice.com/Energy/Energy-General/New-Arctic-Gas-Find-Boosts-Russian-Reserves.html,"Abu Dhabis oil deal with…
The global oil industry needs…
As the electric vehicle boom…
By Simon Watkins - Dec 17, 2020, 5:00 PM CSTAt the core of Russia’s hydrocarbons-related power is its Arctic … [+8733 chars]"
7,20201217,UPDATE 1-GMB union to strike over Centrica's British Gas 'fire and rehire' threats - Reuters India,https://www.reuters.com/article/britain-union-centrica-idINL1N2IX2HC,"(Adds Centricas statement and more details from GMBs statement)
Dec 17 (Reuters) - Members of the Britains GMB union have voted for industrial action in January against Centrica Plcs British Gas aft… [+1834 chars]"
9,20201217,UPDATE 1-GMB union to strike over Centrica's British Gas 'fire and rehire' threats - Reuters,https://www.reuters.com/article/britain-union-centrica-idUSL1N2IX2HC,"(Adds Centricas statement and more details from GMBs statement)
Dec 17 (Reuters) - Members of the Britains GMB union have voted for industrial action in January against Centrica Plcs British Gas aft… [+1834 chars]"
10,20201217,SEC Eases Disclosure Rule On Oil Payments To Governments,https://oilprice.com/Latest-Energy-News/World-News/SEC-Eases-Disclosure-Rule-On-Oil-Payments-To-Governments.html,"Russian oil giant Rosneft just…
After decades of stagnation and…
By Charles Kennedy - Dec 17, 2020, 4:30 PM CSTThe U.S. Securities and Exchange Commission (SEC) approved on Wednesday in a 3-2 vote … [+2181 chars]"
11,20201217,"Oilsands emissions intensity 35% lower than reported and could drop another 19%, new study says",https://financialpost.com/commodities/energy/oilsands-emissions-intensity-35-lower-drop-another-19,"Bergerson, who is also Canada Research Chair in energy technology assessment, added that more accurate emissions models will help policy-makers in making better climate-wise decisions.
The study com… [+1502 chars]"
12,20201217,Hydrogen Production Is Set To Increase 5000% In Just 5 Years,https://oilprice.com/Energy/Energy-General/Hydrogen-Production-Is-Set-To-Increase-5000-In-Just-5-Years.html,"Aggressive investors who know how…
After years of tough times…
Pipeline companies have seen their…
By Alex Kimani - Dec 17, 2020, 4:00 PM CSTAfter decades of stagnation and multiple false dawns, t… [+4732 chars]"
13,20201217,"Deb Haaland helming the Interior Department would be a first step in healing the 'horrible relationship' between the federal government and Native Americans, activists say",https://www.businessinsider.com/haaland-at-interior-would-help-relations-between-us-native-tribes-2020-12,"President-elect Joe Biden has officially tapped Rep. Deb Haaland as his nominee to serve as Secretary of the Interior, the Washington Post reported on Thursday.
Haaland, a first-term congresswoman r… [+4631 chars]"
14,20201217,"Dow, S&P 500 close at records as investors await final stimulus deal from Congress",https://www.businessinsider.com/stock-market-news-today-dow-sp500-records-final-stimulus-near-2020-12,"Getty Images / Bryan R. Smith
<ul><li>Major US equity indexes closed at record highs on Thursday as investors awaited a final stimulus deal to be announced from Congress. </li><li>A $900 billion sti… [+2768 chars]"
15,20201217,Win big on College Football's Championship weekend with Fox Super 6,https://www.foxnews.com/sports/college-football-championship-weekend-fox-bet-super-6,"The best of the best play on this weekend in college football. And with conference championships and playoff berths on tap, there’s no better time to get involved with FOX Bet’s Super 6 College Footb… [+5490 chars]"
16,20201217,Rep.-elect Yvette Herrell relates to Trump's voter fraud claims: 'I know exactly what he's going through',https://www.foxnews.com/politics/rep-elect-yvette-herrell-trump-voter-fraud-claims,"Rep.-elect Yvette Herrell understands the joy of leading on election night and then the sinking feeling of having that advantage slowly erased as mail-in ballots are counted.
The Republican attribut… [+7675 chars]"
17,20201217,Toyota: There’s Too Much Hype Over EVs,https://oilprice.com/Latest-Energy-News/World-News/Toyota-Theres-Too-Much-Hype-Over-EVs.html,"As the electric vehicle boom…
Oil prices have reached the…
By Charles Kennedy - Dec 17, 2020, 2:30 PM CSTThere is too much hype surrounding electric vehicles (EVs), one of the world’s top automaker… [+2069 chars]"
18,20201217,"They’re out of time, but he’s got the beer",https://www.foxnews.com/politics/theyre-out-of-time-but-hes-got-the-beer,"**Want FOX News Halftime Report in your inbox every day? Sign up here.**
On the roster: They’re out of time, but he’s got the beer - Loeffler may challenge Biden win in Senate - Administration reels… [+20368 chars]"
19,20201217,Fred Fleitz: Biden's 'back to the Obama years' foreign policy will weaken US national security,https://www.foxnews.com/opinion/biden-foreign-policy-national-security-fred-fleitz,It is now obvious that President-elect Joe Biden has no original ideas for national security and simply plans to implement liberal foreign policy orthodoxy and restore the disastrous policies he back… [+9543 chars]
20,20201217,"Biden picks Deb Haaland for Interior, AOC praises the 'progressive' move",https://www.foxnews.com/politics/biden-picks-deb-haaland-for-interior-aoc-praises-the-progressive-move,"President-elect Joe Biden has picked New Mexico Democrat Rep. Deb Haaland as secretary of Interior, sources confirmed for Fox News Thursday, making her the first Native American to fill the position … [+1218 chars]"
21,20201217,CANADA FX DEBT-Canadian dollar sticks near 2-1/2-year high as greenback sinks - Reuters,https://www.reuters.com/article/canada-forex-idUSL1N2IX2DI,"(Adds quotes and details throughout; update prices)
 * Canadian dollar strengthens 0.1% against the greenback
 * Canadian home prices rise 0.9% in November, data shows
 * Price of U.S. oil settles… [+2044 chars]"
22,20201217,Venezuela’s Crisis: A Cautionary Tale For Oil Nations,https://oilprice.com/Geopolitics/South-America/Venezuelas-Crisis-A-Cautionary-Tale-For-Oil-Nations.html,"Exxon has suspended exploration activities…
Russia, one of Venezuelan President…
Russia, one of Maduros staunchest…
By Matthew Smith - Dec 17, 2020, 2:00 PM CSTThe story of Venezuela’s rise to wea… [+8891 chars]"
23,20201217,U.S. Shale Patch Reduced Breakeven Costs By 20% This Year,https://oilprice.com/Latest-Energy-News/World-News/US-Shale-Patch-Reduced-Breakeven-Costs-By-20-This-Year.html,"Ecuadors struggling oil industry has…
Pipeline companies have seen their…
By Tsvetana Paraskova - Dec 17, 2020, 1:30 PM CSTPressured by plunging oil prices and the need to adjust to the lower oil d… [+1898 chars]"
24,20201217,Amazon employees have started an 'Anti-Surveillance' petition to stop the company's union-busting and labor-monitoring efforts: 'Stop spying on us' (AMZN),https://www.businessinsider.com/amazon-employees-start-anti-surveillance-petition-for-labor-tracking-2020-12,"A small group of Amazon employees have organized an ""anti-surveillance"" petition campaign, demanding the company stop monitoring employee activism and labor-organization efforts, Business Insider has… [+5121 chars]"
25,20201217,Biden picks Rep. Deb Haaland (D-N.M.) to be first Native American interior secretary,https://www.washingtonpost.com/climate-environment/2020/12/17/deb-haaland-interior-secretary-biden/,"The first-term House member, who hails from a top oil- and gas-producing state, has pledged to transform the department from a champion of fossil fuel development into a promoter of renewable energy … [+9524 chars]"
26,20201217,An Under-The-Radar Opportunity In LNG,https://oilprice.com/Energy/Energy-General/An-Under-The-Radar-Opportunity-In-LNG.html,"In 1654, a strange law…
The global oil industry needs…
Asset managers are increasing the…
By Tsvetana Paraskova - Dec 17, 2020, 1:00 PM CSTNatural gas production and liquefied natural gas (LNG) ex… [+6027 chars]"
